03/13 00:11:55 - OpenCompass - [4m[97mINFO[0m - Task [baichuan/creationv2_zh_4]
03/13 00:12:10 - OpenCompass - [4m[97mINFO[0m - Start inferencing [baichuan/creationv2_zh_4]
03/13 00:13:19 - OpenCompass - [4m[97mINFO[0m - time elapsed: 84.38s
srun: job 3472241 queued and waiting for resources
srun: job 3472241 has been allocated resources
srun: Job 3472241 scheduled successfully!
Current QUOTA_TYPE is [spot], which means the job has occupied quota in SPOT_TOTAL under your partition.
[NOTE]: This job MAY BE PREEMPTED by other jobs of reserved QUOTA_TYPE.
[NOTE]: phx_priority has NO effect on job of spot quota type.

/mnt/petrelfs/caomaosong/miniconda3/envs/opencompass/lib/python3.10/site-packages/transformers/utils/hub.py:124: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- tokenization_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- configuration_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- modeling_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.

Downloading shards:   0%|          | 0/7 [00:00<?, ?it/s]
Downloading shards: 100%|██████████| 7/7 [00:00<00:00, 548.16it/s]

Loading checkpoint shards:   0%|          | 0/7 [00:00<?, ?it/s]
Loading checkpoint shards:  14%|█▍        | 1/7 [00:00<00:05,  1.12it/s]
Loading checkpoint shards:  29%|██▊       | 2/7 [00:01<00:04,  1.03it/s]
Loading checkpoint shards:  43%|████▎     | 3/7 [00:02<00:03,  1.02it/s]
Loading checkpoint shards:  57%|█████▋    | 4/7 [00:03<00:02,  1.05it/s]
Loading checkpoint shards:  71%|███████▏  | 5/7 [00:04<00:01,  1.02it/s]
Loading checkpoint shards:  86%|████████▌ | 6/7 [00:05<00:00,  1.02it/s]
Loading checkpoint shards: 100%|██████████| 7/7 [00:06<00:00,  1.18it/s]
Loading checkpoint shards: 100%|██████████| 7/7 [00:06<00:00,  1.09it/s]
[2024-03-13 00:12:10,211] [opencompass.openicl.icl_inferencer.icl_gen_inferencer] [INFO] Starting inference process...

  0%|          | 0/10 [00:00<?, ?it/s]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 10%|█         | 1/10 [00:12<01:50, 12.31s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 20%|██        | 2/10 [00:31<02:11, 16.40s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 30%|███       | 3/10 [00:39<01:27, 12.43s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 40%|████      | 4/10 [00:39<00:45,  7.64s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 50%|█████     | 5/10 [00:40<00:26,  5.35s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 60%|██████    | 6/10 [00:42<00:16,  4.05s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 70%|███████   | 7/10 [00:46<00:12,  4.18s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 80%|████████  | 8/10 [00:54<00:10,  5.43s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

 90%|█████████ | 9/10 [01:00<00:05,  5.50s/it]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

100%|██████████| 10/10 [01:09<00:00,  6.52s/it]
100%|██████████| 10/10 [01:09<00:00,  6.94s/it]
